id,category,status,priority,description,summary,summaryFull,materialCode,deliveryDate,plant,quantity,inquirySubcategory,accountNumber,requestedAction,differenceType,expectedValue,actualValue,exchangePartner,postingDate,expectedPostingDate,deliveryNoteNumber,quantityExpected,quantityActual,missingDocumentType,referenceNumber,expectedDocuments
1011,Inquiry,New,High,Account inactivity for MAT5678,Account shows no ac... more,Account ACC-2456 shows no activity for material MAT5678 for past 2 weeks. Requesting review and reactivation.,MAT5678,2024-12-15,Plant XYZ,10,Account Inactivity,ACC-2456,Review and reactivate account,,,,,,,,,,,,
1012,Inquiry,In Progress,High,Material availability query,Material MZ389393... more,Inquiry regarding material MZ389393 availability and delivery schedule for urgent order,MZ389393,2024-11-20,Site ABC,50,Material Query,,Check availability and delivery timeline,,,,,,,,,,,,
1013,Inquiry,Approved,Medium,Pricing information needed,Pricing request for... more,Requesting current pricing information for bulk order of material L3-2024,L3-2024,2024-12-10,WH-01,15,Pricing Information,,Provide pricing for quantity 15,,,,,,,,,,,,
1014,Posting Difference,Rejected,Very High,Quantity mismatch in MN3923,Quantity difference... more,Posting shows 100 units but delivery note DN-4567 shows 120 units received,MN3923,2024-12-25,Plant DEF,120,,,,Posting Quantity,120 units,100 units,,2024-12-25,,DN-4567,120,100,,,
1015,Posting Difference,In Progress,Very High,Exchange partner mismatch MN3930,Partner ID incorrect... more,Material MN3930 posted with wrong exchange partner - Expected: EP-1234, Actual: EP-5678,MN3930,2024-12-18,Distribution Center,25,,,,Exchange Partner,EP-1234,EP-5678,EP-1234,2024-12-18,,DN-4568,,,,,
1016,Posting Difference,Partially Approved,Very High,Date mismatch for MN3932,Posting date wrong... more,Posting date shows 2024-11-30 but expected posting date was 2024-11-28 per delivery schedule,MN3932,2024-11-28,Plant GHI,30,,,,Posting Date,2024-11-28,2024-11-30,,2024-11-30,2024-11-28,DN-4569,,,,,
1017,Posting Difference,In Progress,Very High,Delivery note number wrong MN3931,DN reference error... more,Posting references DN-4570 but actual delivery note is DN-4571,MN3931,2024-12-12,WH-02,20,,,,Delivery Note,DN-4571,DN-4570,,2024-12-12,,DN-4571,,,,,
1018,Posting Difference,Partially Approved,High,Multiple differences in MN3928,Several mismatches... more,MN3928 has differences in both quantity (expected 75 got 70) and posting date,MN3928,2024-12-30,New Facility,70,,,,Posting Quantity,75 units,70 units,,2024-12-30,,DN-4572,75,70,,,
1019,Posting Difference,In Progress,Very High,Material code mismatch MN3929,Wrong material code... more,Delivery note shows material code MN3929 but posting shows MN3929A,MN3929,2025-01-05,Plant JKL,200,,,,Material Code,MN3929,MN3929A,,2025-01-05,,DN-4573,,,,,
1020,Posting Missing,In Progress,Medium,Missing delivery notes for pallets,Multiple DNs missing... more,Missing posting documents for pallet delivery - expected DN-4574, DN-4575, DN-4576,MN3933,2024-12-22,Supplier WH,40,,,,,,,,,,,Delivery Note,REF-2024-1001,"DN-4574, DN-4575, DN-4576"
1021,Posting Missing,In Progress,High,Goods receipt missing for MN3934,GR not posted... more,Goods receipt document missing for delivery completed on 2024-11-15,MN3934,2024-11-15,WH-03,12,,,,,,,,,,,Goods Receipt,REF-2024-1002,GR-8890
1022,Posting Missing,Discarded,Medium,Multiple documents missing MAT56,Invoice and packing... more,MAT56 delivery missing both invoice INV-5678 and packing list PL-3456 - Issue resolved through alternate process,MAT56,2024-12-28,Central WH,150,,,,,,,,,,,Invoice,REF-2024-1003,"INV-5678, PL-3456"
